USW00094846,20070109,PRCP,0,,,0,2400
USW00094846,20070109,SNOW,0,,,0,
USW00094846,20070109,SNWD,0,,,0,
USW00094846,20070109,AWND,70,,,W,
USW00094846,20070109,FMTM,1542,,,X,
USW00094846,20070109,PGTM,1407,,,W,
USW00094846,20070109,WDF2,290,,,X,
USW00094846,20070109,WDF5,280,,,X,
USW00094846,20070109,WESD,0,,,0,
USW00094846,20070109,WSF2,116,,,X,
USW00094846,20070109,WSF5,148,,,X,
USW00094846,20070110,TMAX,17,,,0,2400
USW00094846,20070110,TMIN,-78,,,0,2400
USW00094846,20070110,PRCP,0,,,0,2400
USW00094846,20070110,SNOW,0,,,0,
USW00094846,20070110,SNWD,0,,,0,
USW00094846,20070110,AWND,53,,,W,
USW00094846,20070110,FMTM,2115,,,X,
USW00094846,20070110,PGTM,2114,,,W,
USW00094846,20070110,WDF2,190,,,X,
USW00094846,20070110,WDF5,200,,,X,
USW00094846,20070110,WESD,0,,,0,
USW00094846,20070110,WSF2,112,,,X,
USW00094846,20070110,WSF5,139,,,X,
USW00094846,20070111,TMAX,72,,,0,2400
USW00094846,20070111,TMIN,17,,,0,2400
USW00094846,20070111,PRCP,5,,,0,2400
USW00094846,20070111,SNOW,0,,,0,
USW00094846,20070111,SNWD,0,,,0,
USW00094846,20070111,AWND,85,,,W,
USW00094846,20070111,FMTM,335,,,X,
USW00094846,20070111,PGTM,334,,,W,
USW00094846,20070111,WDF2,200,,,X,
USW00094846,20070111,WDF5,200,,,X,
USW00094846,20070111,WESD,0,,,0,
USW00094846,20070111,WSF2,130,,,X,
USW00094846,20070111,WSF5,156,,,X,
USW00094846,20070111,WT01,1,,,0,
USW00094846,20070111,WT13,1,,,X,
USW00094846,20070111,WT14,1,,,X,
USW00094846,20070111,WT16,1,,,0,
USW00094846,20070112,TMAX,89,,,0,2400
USW00094846,20070112,TMIN,6,,,0,2400
USW00094846,20070112,PRCP,48,,,0,2400
USW00094846,20070112,SNOW,0,T,,0,
USW00094846,20070112,SNWD,0,,,0,
USW00094846,20070112,AWND,42,,,W,
USW00094846,20070112,FMTM,2312,,,X,
USW00094846,20070112,PGTM,1907,,,W,
USW00094846,20070112,WDF2,10,,,X,
USW00094846,20070112,WDF5,50,,,X,
USW00094846,20070112,WESD,0,,,0,
USW00094846,20070112,WSF2,72,,,X,
USW00094846,20070112,WSF5,103,,,X,
USW00094846,20070112,WT01,1,,,0,
USW00094846,20070112,WT04,1,,,0,
USW00094846,20070112,WT14,1,,,X,
USW00094846,20070112,WT16,1,,,0,
USW00094846,20070112,WT18,1,,,0,
USW00094846,20070113,TMAX,6,,,0,2400
USW00094846,20070113,TMIN,-17,,,0,2400
USW00094846,20070113,PRCP,0,T,,0,2400
USW00094846,20070113,SNOW,0,T,,0,
USW00094846,20070113,SNWD,0,T,,0,
USW00094846,20070113,AWND,53,,,W,
USW00094846,20070113,FMTM,409,,,X,
USW00094846,20070113,PGTM,351,,,W,
USW00094846,20070113,WDF2,20,,,X,
USW00094846,20070113,WDF5,20,,,X,
USW00094846,20070113,WESD,0,,,0,
USW00094846,20070113,WSF2,94,,,X,
USW00094846,20070113,WSF5,125,,,X,
USW00094846,20070113,WT01,1,,,0,
USW00094846,20070113,WT13,1,,,X,
USW00094846,20070113,WT18,1,,,0,
USW00094846,20070114,TMAX,6,,,0,2400
USW00094846,20070114,TMIN,-11,,,0,2400
USW00094846,20070114,PRCP,109,,,0,2400
USW00094846,20070114,SNOW,0,T,,0,
USW00094846,20070114,SNWD,0,,,0,
USW00094846,20070114,AWND,48,,,W,
USW00094846,20070114,FMTM,2147,,,X,
USW00094846,20070114,PGTM,1312,,,W,
USW00094846,20070114,WDF2,70,,,X,
USW00094846,20070114,WDF5,70,,,X,
USW00094846,20070114,WESD,0,,,0,
USW00094846,20070114,WSF2,80,,,X,
USW00094846,20070114,WSF5,139,,,X,
USW00094846,20070114,WT01,1,,,0,
USW00094846,20070114,WT04,1,,,0,
USW00094846,20070114,WT06,1,,,0,
USW00094846,20070114,WT14,1,,,X,
USW00094846,20070114,WT16,1,,,0,
USW00094846,20070114,WT18,1,,,0,
USW00094846,20070115,TMAX,6,,,0,2400
USW00094846,20070115,TMIN,-61,,,0,2400
USW00094846,20070115,PRCP,53,,,0,2400
USW00094846,20070115,SNOW,41,,,0,
USW00094846,20070115,SNWD,25,,,0,
USW00094846,20070115,AWND,54,,,W,
USW00094846,20070115,FMTM,1242,,,X,
USW00094846,20070115,PGTM,1307,,,W,
USW00094846,20070115,WDF2,340,,,X,
USW00094846,20070115,WDF5,360,,,X,
USW00094846,20070115,WESD,0,,,0,
USW00094846,20070115,WSF2,80,,,X,
USW00094846,20070115,WSF5,103,,,X,
USW00094846,20070115,WT01,1,,,0,
USW00094846,20070115,WT06,1,,,0,
USW00094846,20070115,WT14,1,,,X,
USW00094846,20070115,WT16,1,,,0,
USW00094846,20070115,WT18,1,,,0,
USW00094846,20070115,WT19,1,,,X,
USW00094846,20070116,TMAX,-50,,,0,2400
USW00094846,20070116,TMIN,-117,,,0,2400
USW00094846,20070116,PRCP,0,T,,0,2400
USW00094846,20070116,SNOW,0,T,,0,
USW00094846,20070116,SNWD,25,,,0,
USW00094846,20070116,AWND,48,,,W,
USW00094846,20070116,FMTM,226,,,X,
USW00094846,20070116,PGTM,211,,,W,
